INFO:root:[TURN 0] [WORKER u_1 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 0] [WORKER u_2 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 2] [WORKER u_1 at (15, 5)] [ACTION build] [VALUE 0.0665] at (14, 4) (rule_build)
INFO:root:[TURN 2] [WORKER u_2 at (15, 10)] [ACTION build] [VALUE 0.0665] at (14, 9) (rule_build)
INFO:root:[TURN 4] [WORKER u_2 at (15, 9)] [ACTION build] [VALUE 0.0665] at (14, 9) (rule_build)
INFO:root:[TURN 4] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 4) (rule_build)
INFO:root:[TURN 6] [WORKER u_1 at (14, 4)] [ACTION build] [VALUE 0.0665] at (14, 4) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 6] [WORKER u_2 at (14, 9)] [ACTION build] [VALUE 0.0665] at (14, 9) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 7] [WORKER u_2 at (14, 9)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 7] [WORKER u_1 at (14, 4)] [ACTION move] [VALUE 0.010862946510314943] at (15, 5) (rule_resource_value)
INFO:root:[TURN 8] [WORKER u_3 at (14, 4)] [ACTION move] [VALUE 0.010862946510314943] at (15, 5) (rule_resource_value)
INFO:root:[TURN 8] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 9] [WORKER u_2 at (15, 9)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 9] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 9] [WORKER u_4 at (14, 10)] [ACTION move] [VALUE 0.007241964340209961] at (15, 9) (rule_resource_value)
INFO:root:[TURN 9] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 10] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 10] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 10] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 11] [WORKER u_2 at (15, 10)] [ACTION build] [VALUE 0.0665] at (14, 11) (rule_build)
INFO:root:[TURN 11] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 11] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 12] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 12] [WORKER u_4 at (15, 9)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 12] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 13] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 13] [WORKER u_2 at (15, 11)] [ACTION build] [VALUE 0.0665] at (14, 11) (rule_build)
INFO:root:[TURN 13] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 14] [WORKER u_4 at (15, 10)] [ACTION build] [VALUE 0.0665] at (14, 11) (rule_build)
INFO:root:[TURN 14] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 14] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 15] [WORKER u_2 at (14, 11)] [ACTION build] [VALUE 0.0665] at (14, 11) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 15] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 15] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 16] [WORKER u_2 at (14, 11)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 16] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 16] [WORKER u_4 at (15, 11)] [ACTION build] [VALUE 0.05] at (13, 11) (rule_build)
INFO:root:[TURN 16] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 17] [WORKER u_2 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 17] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
